Structure ID,Ti-S min,Ti-S max,Li-S min,Li-S max,Ti-Li min,Ti-Li max,Energy/unit formula (eV),Energy/unit formula (-E mono) (eV),Band Gap (eV),a,b,c,alpha,beta,gamma,volume prim,volume conv,mulliken Ti,mulliken Li,mulliken S,Description
2,2.2032148539191536,3.1216964222137094,2.4766093754098866,2.9606047917261136,3.267625181674657,3.7912875430588784,-504325.9668621748,0.206,2.163,15.582601717388618,15.422285805243606,15.763263774255709,89.71534982226986,90.2063281199996,90.26796508947118,947.0261691713393,3788.1046766853565,-0.8534444444444444,-0.8534444444444444,0.7784074074074034,Ti rows
119,2.2118484557439198,3.2843520452137964,2.5064899720652845,3.031643807290469,3.29861696948693,3.775743278673498,-504326.1200665474,0.189,2.513,15.64022656393798,15.495852024180154,15.705625568852446,89.9488550674777,89.69089997238278,89.9106463748694,951.5831225829753,3806.3324903319003,-0.8527777777777779,-0.8527777777777779,0.7832592592592604,Dispersed
127,2.199815850843522,3.36192964151945,2.301440990543557,3.406369238896481,3.2324571357974987,3.9527214146828875,-504323.3575751788,0.496,1.5,13.519722914505548,15.97898544493463,18.364998881463528,100.83976468905568,86.701188721807,84.07586246058891,965.9432174054527,3863.7728696218105,-0.8596111111111111,-0.8596111111111111,0.7597407407407388,Ti spiral
218,2.1685630880199698,4.183319594965119,2.293671913352057,3.749360903723446,2.957145987722612,3.8806588588073505,-504322.5184615908,0.589,1.854,18.777048184850255,13.711271144082948,16.045113250917773,82.3021345471813,100.82137863948027,87.37233963722913,1002.5490459594082,4010.1961838376324,-0.8506111111111112,-0.8506111111111112,0.7582222222222228,Ti rows
348,2.208593518851993,3.4250279520461824,2.4825383368419924,3.0255104766453402,3.264248848581228,3.772614090312954,-504326.2274856714,0.177,2.476,15.522684131881388,15.80764069469069,15.562276147326937,89.37615184284682,89.92130124916949,90.59416851551065,954.5472388273197,3818.188955309279,-0.8531666666666662,-0.8531666666666662,0.7811481481481479,Dispersed
650,2.2081966498585945,3.428829592205092,2.482435394049065,3.032358229327509,3.2638236862836294,3.7710361888519848,-504326.2269820972,0.177,2.476,15.52499438625212,15.812962084800422,15.555616185074493,89.37357569033239,89.93144802591854,90.59615723449753,954.6014065345563,3818.4056261382257,-0.8531666666666662,-0.8531666666666662,0.781296296296297,Dispersed
721,2.1740570249662396,3.650030726612078,2.302098336765297,3.5556525775258927,3.308937338281443,3.892242175826925,-504322.1616848708,0.628,1.405,15.234101213182951,16.357215457932593,15.550146033746188,89.99688595310471,89.97860902422246,91.71537438674395,968.2912192179112,3873.164876871645,-0.8582777777777779,-0.8582777777777779,0.7558148148148192,Ti rows
737,2.1507435065225504,3.9936040607729817,2.2898070657941174,3.9830841874935974,3.3004459058391533,4.224962384917834,-504321.5588890127,0.695,1.794,14.11711563617079,16.977658773819478,17.476213044499268,89.1659074027206,90.19583287170262,90.94570627524158,1046.8964704749214,4187.585881899686,-0.8524444444444441,-0.8524444444444441,0.7590370370370394,Ti rows
840,2.208165563453148,3.552181090162879,2.4692148976576145,3.1584549375488753,3.2786749923108944,3.794713420133341,-504325.6600235713,0.24,2.417,16.09907131158276,15.319082762154638,15.531778863128364,89.40466769752156,89.33603281858443,90.96499700809281,957.3697228233267,3829.4788912933063,-0.8527222222222219,-0.8527222222222219,0.777592592592594,Dispersed
848,2.151736050680776,3.9988155019136085,2.2887928518574174,3.979570578509283,3.3038828947289582,4.229798238074063,-504321.55969572184,0.695,1.794,14.11724145301537,16.992896522417826,17.45359913688396,89.17483462726605,90.22701528278424,90.92021963245146,1046.4974651506243,4185.989860602497,-0.8522222222222222,-0.8522222222222222,0.7590740740740749,Ti rows
